,0
0,"RT @OccupyDemocrats: BREAKING: Joe Biden deals a MAJOR blow to Donald Trump by waiving executive privilege over a staggering 23,000 emails…"
1,"RT @RSBNetwork: Statement by Donald J. Trump, 45th President of the United States of America https://t.co/QCQjhQNTd7"
2,@GeorgePapa19 Coffee Bro forgot to mention that Trump oversaw the greatest economic collapse in this country's history.
3,RT @ZaleskiLuke: Trump's GDP Growth Was the Worst Since the Great Depression - Bloomberg https://t.co/Ya9QrsBfD7
4,"RT @MaxMillerOH: Trump inflation: 1.4%.
Biden inflation: 8.3%.

Pass it on."
5,"RT @SwainForSenate: Gas is way up, food is up and shelves are empty, baby formula shortage, record inflation, but hey, at least you geniuse…"
6,RT @UncvrngTheTruth: Why hasn’t Donald Trump faced any legal consequences for stealing 15 boxes of classified documents from the White Hous…
7,"RT @nowthisnews: Pres. Biden calls Trump ‘the great MAGA king,’ highlighting how his predecessor increased the deficit each year he was pre…"
8,@Pepperfire Can we do a mega block on Elon when he allows trump back in?
9,"RT @AlexGangitano: Biden calls Trump the ‘great MAGA king,’ bashes Scott’s tax plan
https://t.co/djPsqAyOQb"
10,"@RevBari There are a few good men and women, but Trump has singlehandedly destroyed the original values of Republicans"
11,@RonaldJTrump10 Call me when. The FINALLY ARREST #Trump!
12,"RT @OccupyDemocrats: BREAKING: Joe Biden deals a MAJOR blow to Donald Trump by waiving executive privilege over a staggering 23,000 emails…"
13,"RT @keithlalexander: Trump Hotel in D. C. closes its doors, for good."
14,"RT @MaxMillerOH: Trump inflation: 1.4%.
Biden inflation: 8.3%.

Pass it on."
